code,title,sido,sigungu,lat,lng,first_seen_at,last_seen_at
VFU53,GS25죽동빌리지점,대전,유성구,36.372526056741,127.339534030209,2026-04-30,2026-04-30
VFU54,GS25전주신일점,전북,전주시,35.8330146737233,127.110802891745,2026-04-30,2026-04-30
VFU56,GS25안성원곡오투점,경기,안성시,37.0369526553851,127.130087749537,2026-04-30,2026-04-30
VFU57,GS25강서안강점,서울,강서구,37.5685796954637,126.827699381427,2026-04-30,2026-04-30
VFU62,GS25김해청호점,경남,김해시,35.2224587763807,128.854564933199,2026-04-30,2026-04-30
VFU63,GS25대전효동현대점,대전,동구,36.3173835255055,127.441475039909,2026-04-30,2026-04-30
VFU64,GS25금천능선점,서울,금천구,37.4615953932454,126.904358148946,2026-04-30,2026-04-30
VFU65,GS25목포신흥점,전남,목포시,34.8023138688601,126.424294054385,2026-04-30,2026-04-30
VFU67,GS25성남중원점,경기,성남시,37.4426330844977,127.153108038633,2026-04-30,2026-04-30
VFU69,GS25안성현수점,경기,안성시,37.00043088417,127.282853813833,2026-04-30,2026-04-30
VFU72,GS25남양주공점,경기,화성시,37.2106160440357,126.828499685733,2026-04-30,2026-04-30
VFU74,GS25남양주월문점,경기,남양주시,37.5919777518815,127.228569119988,2026-04-30,2026-04-30
VFU75,GS25남당항터미널점,충남,홍성군,36.5391460032437,126.470056597303,2026-04-30,2026-04-30
VFU76,GS25내서한우리점,경남,창원시,35.2284839221066,128.504590298031,2026-04-30,2026-04-30
VFU78,GS25양평태양점,경기,양평군,37.4825250050323,127.500421799761,2026-04-30,2026-04-30
VFU82,GS25안산성포점,경기,안산시,37.3236941107866,126.843402137537,2026-04-30,2026-04-30
VFU84,GS25뉴군산법원점,전북,군산시,35.9701924354012,126.73911272788,2026-04-30,2026-04-30
VFU87,GS25부여임천오복점,충남,부여군,36.1837054471889,126.896300692983,2026-04-30,2026-04-30
VFU88,GS25온천파인우스점,부산,동래구,35.2181317039371,129.081933419279,2026-04-30,2026-04-30
VFU92,GS25다대푸르지오점,부산,사하구,35.0607613733463,128.974201196127,2026-04-30,2026-04-30
VFU93,GS25인계파크자이점,경기,수원시,37.2720209157647,127.018609574623,2026-04-30,2026-04-30
VFU94,GS25목동SBS점,서울,양천구,37.5291637183045,126.873548476503,2026-04-30,2026-04-30
VFU95,GS25기장대로점,부산,기장군,35.2377400568981,129.218020024704,2026-04-30,2026-04-30
VFU98,GS25금당대광점,전남,순천시,34.9432888351517,127.531710347234,2026-04-30,2026-04-30
VFU99,GS25진천이편한점,충북,진천군,36.8608185634235,127.453503271581,2026-04-30,2026-04-30
VFV23,GS25거제견내량점,경남,거제시,34.8827252296815,128.477661653705,2026-04-30,2026-04-30
VFV24,GS25용암중앙점,충북,청주시,36.6181035837379,127.5082645618,2026-04-30,2026-04-30
VFV26,GS25솔밭공원역점,서울,강북구,37.6561363980485,127.012438278672,2026-04-30,2026-04-30
VFV28,GS25용상길주점,경북,안동시,36.5556643518043,128.756369754802,2026-04-30,2026-04-30
VFV33,GS25철산주공13단지점,경기,광명시,37.4772709832169,126.870539427124,2026-04-30,2026-04-30
VFV34,GS25동삼에일린점,부산,영도구,35.0756086924458,129.074267736553,2026-04-30,2026-04-30
VFV35,GS25오산초평점,경기,오산시,37.1355363878875,127.047981454021,2026-04-30,2026-04-30
