"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at","current_month_file"
"28744","영주가흥점","경상북도 영주시 대학로262번길 30","","","36.8183946166644","128.608212321433","2024-12-20","","07:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28745","굿모닝시티점","서울특별시 중구 장충단로 249-10","","","37.5672908828129","127.007742509595","2025-01-01","","07:00","02:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28747","해운대센텀파크점","부산광역시 해운대구 센텀중앙로 145","상가2동 103-126-127호","","35.1767570378219","129.123591937256","2024-12-20","","07:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28748","청양화성점","충청남도 청양군 화성면 무한로 110-1","","","36.4275067197966","126.714814509195","2024-12-30","","06:00","01:00",0,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28749","창원라포레점","경상남도 창원시 성산구 창원대로 888","","","35.2087938761328","128.684884477157","2024-12-23","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28750","아산음봉탕정점","충청남도 아산시 음봉면 탕정로 561","","","36.8412633441519","127.061549927398","2024-12-23","","00:00","00:00",1,1,1,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28751","제천청전제일점","충청북도 제천시 의림대로36길 7","","","37.1535860497352","128.214119531079","2024-12-30","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28752","처인(하행)휴게소점","경기도 용인시 처인구 모현읍 곡현로619번길 36","처인(하행)휴게소 2층","","37.3406753620659","127.220460896475","2025-01-01","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28753","처인(상행)휴게소점","경기도 용인시 처인구 모현읍 곡현로619번길 36","처인(상행)휴게소 1층","","37.3406753620659","127.220460896475","2025-01-01","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28755","SMART이천더블유소망병원점","경기도 이천시 호법면 중부대로 797-26","","","37.2451839613626","127.421669846284","2024-12-31","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
