code,title,sido,sigungu,lat,lng,first_seen_at,last_seen_at
06246,경희대원룸점,서울특별시,동대문구,37.5982490426337,127.054478535245,2026-04-29,2026-04-29
06248,R인천검단우방점,인천광역시,서구,37.6039056942514,126.654931295595,2026-04-29,2026-04-29
06256,포천힐스점,경기도,포천시,37.8864110372964,127.230710721133,2026-04-29,2026-04-29
06269,수원망포원룸점,경기도,수원시,37.243227193392,127.059141290997,2026-04-29,2026-04-29
06270,홍대서교점,서울특별시,마포구,37.5557991886266,126.927644767585,2026-04-29,2026-04-29
06277,여수흥국점,전라남도,여수시,34.7619595710254,127.669601060903,2026-04-29,2026-04-29
06283,강화양도점,인천광역시,강화군,37.6610191344701,126.422002113231,2026-04-29,2026-04-29
06290,원주치악점,강원특별자치도,원주시,37.4364942423982,128.057749097065,2026-04-29,2026-04-29
06296,두산모트롤점,경상남도,창원시,,,2026-04-29,2026-04-29
06297,서구원창본점,인천광역시,서구,37.5090626320326,126.626947914914,2026-04-29,2026-04-29
06305,분당미켈란점,경기도,성남시,37.3587352007253,127.107488086879,2026-04-29,2026-04-29
06310,대전그린타운점,대전광역시,대덕구,36.3659247178858,127.435796428749,2026-04-29,2026-04-29
06312,뉴동해호텔점,강원특별자치도,동해시,37.5263012040935,129.103059088389,2026-04-29,2026-04-29
06314,양주한승점,경기도,양주시,37.8105816945781,126.980171114072,2026-04-29,2026-04-29
06323,거제장평아내점,경상남도,거제시,34.8867598413786,128.604897737299,2026-04-29,2026-04-29
06325,청주용암점,충청북도,청주시,36.6094003417188,127.509331512625,2026-04-29,2026-04-29
06343,천안FM점,충청남도,천안시,36.8326834315997,127.139259366112,2026-04-29,2026-04-29
06373,금천대성점,서울특별시,금천구,37.4502612359682,126.908033506596,2026-04-29,2026-04-29
06377,경주문무왕릉점,경상북도,경주시,35.7404539342446,129.482968841802,2026-04-29,2026-04-29
06388,대전KT연수관1호점,대전광역시,서구,36.3365369093053,127.375246540594,2026-04-29,2026-04-29
06409,당진한진점,충청남도,당진시,36.9640639114518,126.767206748149,2026-04-29,2026-04-29
06418,북부면허시험장점,부산광역시,사상구,35.1778188446139,128.982878714309,2026-04-29,2026-04-29
06424,부평현대점,인천광역시,부평구,37.4873123988117,126.705909187936,2026-04-29,2026-04-29
06435,R강화동문점,인천광역시,강화군,37.7507252505773,126.492374526498,2026-04-29,2026-04-29
06439,세종소정점,세종특별자치시,소정면,36.698994633333,127.151326734879,2026-04-29,2026-04-29
06446,용인한국민속촌2호점,경기도,용인시,37.2572097214287,127.114695965037,2026-04-29,2026-04-29
06460,광주동천마을점,광주광역시,서구,35.1697063072258,126.860678547028,2026-04-29,2026-04-29
06462,태안발전본부1호점,충청남도,태안군,36.8984994826922,126.226416161906,2026-04-29,2026-04-29
06463,태안발전본부2호점,충청남도,태안군,36.8984994826922,126.226416161906,2026-04-29,2026-04-29
06474,R신월올림푸스점,서울특별시,양천구,37.5352075686996,126.824999552695,2026-04-29,2026-04-29
06480,논현유승점,인천광역시,남동구,37.3846428811285,126.718000590671,2026-04-29,2026-04-29
06491,동성로중앙점,대구광역시,중구,35.8688784738101,128.596176865058,2026-04-29,2026-04-29
06494,원앙부부율전점,경기도,수원시,37.2986929221648,126.967633700853,2026-04-29,2026-04-29
06503,씨크루즈호텔속초점,강원특별자치도,속초시,38.2013223348445,128.587056366261,2026-04-29,2026-04-29
06504,천안성환중앙점,충청남도,천안시,36.9163689616417,127.129427320566,2026-04-29,2026-04-29
06508,R테크노미라주점,대구광역시,달성군,35.6923105680537,128.450090457255,2026-04-29,2026-04-29
06518,외대앞역점,서울특별시,동대문구,37.595555750949,127.061888420306,2026-04-29,2026-04-29
06519,거제고현점,경상남도,거제시,34.8883002649172,128.622616681655,2026-04-29,2026-04-29
06525,거제장평골드점,경상남도,거제시,34.8925024966495,128.615557568066,2026-04-29,2026-04-29
06545,월성래미안점,대구광역시,달서구,35.8201084576636,128.527204159593,2026-04-29,2026-04-29
06549,한국식품연구원점,전북특별자치도,완주군,35.834230715359,127.05009451429,2026-04-29,2026-04-29
06553,화성북양점,경기도,화성시,37.2117021730929,126.854363432187,2026-04-29,2026-04-29
06594,시흥중앙점,경기도,시흥시,37.3442916702509,126.74720989425,2026-04-29,2026-04-29
06595,시흥큰솔로점,경기도,시흥시,37.3386521597104,126.751903256335,2026-04-29,2026-04-29
06607,목동5단지점,서울특별시,양천구,37.5351566093996,126.881874415824,2026-04-29,2026-04-29
06608,안산신길점,경기도,안산시,37.3376331494033,126.759788073424,2026-04-29,2026-04-29
06611,양주덕정점,경기도,양주시,37.8375740256854,127.064351675457,2026-04-29,2026-04-29
06615,울산두현삼거리점,울산광역시,울주군,35.5264018957923,129.260502466371,2026-04-29,2026-04-29
06619,대구하빈점,대구광역시,달성군,35.8792038407344,128.401341727279,2026-04-29,2026-04-29
06620,아산모종푸르지오점,충청남도,아산시,36.7827619312384,127.019703294908,2026-04-29,2026-04-29
06629,도화장고개점,인천광역시,미추홀구,37.4701467914954,126.669629465797,2026-04-29,2026-04-29
06635,강남개포점,서울특별시,강남구,37.4854108088377,127.054704829281,2026-04-29,2026-04-29
06636,성동송정점,서울특별시,성동구,37.5486379365678,127.06562155897,2026-04-29,2026-04-29
06645,목포항동시장점,전라남도,목포시,34.7857089568668,126.386576647623,2026-04-29,2026-04-29
06656,R상주삼백로점,경상북도,상주시,36.4186416783743,128.155124526329,2026-04-29,2026-04-29
06659,상인월곡로점,대구광역시,달서구,35.8104456157389,128.546820430302,2026-04-29,2026-04-29
06662,구미산동점,경상북도,구미시,36.1649363171043,128.442315258258,2026-04-29,2026-04-29
06681,역곡대주점,경기도,부천시,37.4897006867695,126.815981269313,2026-04-29,2026-04-29
06682,마석우리점,경기도,남양주시,37.6582185284282,127.301041375393,2026-04-29,2026-04-29
06685,제물포역점,인천광역시,미추홀구,37.4672675264722,126.656079284465,2026-04-29,2026-04-29
06690,청량리타운점,서울특별시,동대문구,37.5796566093672,127.045088482126,2026-04-29,2026-04-29
06720,R수원팔달문로점,경기도,수원시,37.2827331803482,127.031419126724,2026-04-29,2026-04-29
06724,대연sk뷰힐스후문점,부산광역시,남구,35.13824171926,129.093430256325,2026-04-29,2026-04-29
06739,일산강선점,경기도,고양시,37.66537027915241,126.76419053178577,2026-04-29,2026-04-29
06743,파주스머프리빙점,경기도,파주시,37.9419260447927,126.877718628669,2026-04-29,2026-04-29
06747,진주인사원룸점,경상남도,진주시,35.1906513694407,128.075363349018,2026-04-29,2026-04-29
06749,진주봉곡사거리점,경상남도,진주시,35.1926167120408,128.073060944062,2026-04-29,2026-04-29
06755,대전갈마역점,대전광역시,서구,36.3574162494344,127.371583745058,2026-04-29,2026-04-29
06772,구미봉곡제일점,경상북도,구미시,36.1500624806322,128.308828254862,2026-04-29,2026-04-29
06821,R구로신성점,서울특별시,구로구,37.4797916432559,126.896735622301,2026-04-29,2026-04-29
06822,서산IC점,충청남도,서산시,36.8120777715541,126.565888519112,2026-04-29,2026-04-29
06824,남악원룸점,전라남도,무안군,34.8107452248484,126.473383059174,2026-04-29,2026-04-29
06834,수원행궁점,경기도,수원시,37.2788341281563,127.015383221127,2026-04-29,2026-04-29
06836,예산예당산단점,충청남도,예산군,36.7668283003282,126.721736990188,2026-04-29,2026-04-29
06858,세종장군점,세종특별자치시,장군면,36.4932157104201,127.215509266144,2026-04-29,2026-04-29
06859,일산에이스점,경기도,고양시,37.6885484425696,126.776110318731,2026-04-29,2026-04-29
06865,수원매교점,경기도,수원시,37.2698498779985,127.015185555983,2026-04-29,2026-04-29
06871,청주서촌점,충청북도,청주시,36.6417409166983,127.395357740008,2026-04-29,2026-04-29
06876,동두천신창비바점,경기도,동두천시,37.9263086836218,127.05280795147,2026-04-29,2026-04-29
06877,서초점,서울특별시,서초구,37.4817261541319,127.011615884433,2026-04-29,2026-04-29
06880,중산아이파크점,경기도,고양시,37.6799891198207,126.785785651005,2026-04-29,2026-04-29
06883,신현랜드마크점,인천광역시,서구,37.5216791482893,126.672750899506,2026-04-29,2026-04-29
06898,마산아이파크점,경상남도,창원시,35.1961932910415,128.573419031417,2026-04-29,2026-04-29
06904,일산원마운트점,경기도,고양시,37.6645540981816,126.754526582068,2026-04-29,2026-04-29
06905,당진문예의전당점,충청남도,당진시,36.8912003358881,126.638086022197,2026-04-29,2026-04-29
06910,평택청북점,경기도,평택시,37.0173343509698,126.916934286096,2026-04-29,2026-04-29
06914,파주성원포레점,경기도,파주시,37.7729397693796,126.748458084824,2026-04-29,2026-04-29
06916,전주문학로점,전북특별자치도,전주시,35.826701304,127.102831261657,2026-04-29,2026-04-29
